| Contract                              |   Runtime Size (B) |   Runtime Margin (B) |   Initcode Size (B) |   Deploy Gas |   Deploy Cost ($) |
| Aggregator_hsstETH_GOLD_USD           |              3,495 |               21,081 |               4,348 |      742,480 |             74.25 |
| Aggregator_hsstETH_GOLD_USD_mainnet   |              3,495 |               21,081 |               4,221 |      741,210 |             74.12 |
| Aggregator_hsstETH_SILVER_USD         |              3,495 |               21,081 |               4,348 |      742,480 |             74.25 |
| Aggregator_hsstETH_SILVER_USD_mainnet |              3,495 |               21,081 |               4,221 |      741,210 |             74.12 |
| Aggregator_sUSDe_BTC_monad            |              4,094 |               20,482 |               5,090 |      869,700 |             86.97 |
| Aggregator_sUSDe_ETH_monad            |              4,094 |               20,482 |               5,090 |      869,700 |             86.97 |
| Aggregator_sUSDe_XAU_monad            |              4,094 |               20,482 |               5,090 |      869,700 |             86.97 |
| Aggregator_shMON_BTC_monad            |              4,271 |               20,305 |               5,200 |      906,200 |             90.62 |
| Aggregator_shMON_ETH_monad            |              4,271 |               20,305 |               5,200 |      906,200 |             90.62 |
| Aggregator_shMON_USD_monad            |              3,883 |               20,693 |               4,609 |      822,690 |             82.27 |
| Aggregator_shMON_XAU_monad            |              4,271 |               20,305 |               5,200 |      906,200 |             90.62 |
| Aggregator_stETH_AAPL                 |              4,131 |               20,445 |               5,184 |      878,040 |             87.80 |
| Aggregator_stETH_AAPL_arbitrum        |              4,131 |               20,445 |               5,060 |      876,800 |             87.68 |
| Aggregator_stETH_AMZN                 |              4,131 |               20,445 |               5,184 |      878,040 |             87.80 |
| Aggregator_stETH_AMZN_arbitrum        |              4,131 |               20,445 |               5,060 |      876,800 |             87.68 |
| Aggregator_stETH_BOM5                 |              6,534 |               18,042 |               8,538 |    1,392,180 |            139.22 |
| Aggregator_stETH_BOM5_base            |              6,534 |               18,042 |               8,677 |    1,393,570 |            139.36 |
| Aggregator_stETH_BTC                  |              3,789 |               20,787 |               4,842 |      806,220 |             80.62 |
| Aggregator_stETH_BTC_mainnet          |              3,789 |               20,787 |               4,718 |      804,980 |             80.50 |
| Aggregator_stETH_ETH                  |              3,383 |               21,193 |               4,236 |      718,960 |             71.90 |
| Aggregator_stETH_ETH_mainnet          |              3,383 |               21,193 |               4,109 |      717,690 |             71.77 |
| Aggregator_stETH_EUR                  |              3,789 |               20,787 |               4,842 |      806,220 |             80.62 |
| Aggregator_stETH_EUR_mainnet          |              3,789 |               20,787 |               4,718 |      804,980 |             80.50 |
| Aggregator_stETH_GOLD_mainnet         |              3,790 |               20,786 |               4,719 |      805,190 |             80.52 |
| Aggregator_stETH_GOOGL                |              4,132 |               20,444 |               5,185 |      878,250 |             87.83 |
| Aggregator_stETH_GOOGL_arbitrum       |              4,132 |               20,444 |               5,061 |      877,010 |             87.70 |
| Aggregator_stETH_MAG7                 |              6,508 |               18,068 |               8,653 |    1,388,130 |            138.81 |
| Aggregator_stETH_MAG7_arbitrum        |              6,508 |               18,068 |               8,822 |    1,389,820 |            138.98 |
| Aggregator_stETH_MAG7i26              |              6,581 |               17,995 |               8,777 |    1,403,970 |            140.40 |
| Aggregator_stETH_MAG7i26_arbitrum     |              6,581 |               17,995 |               8,926 |    1,405,460 |            140.55 |
| Aggregator_stETH_MCAP                 |              3,790 |               20,786 |               4,843 |      806,430 |             80.64 |
| Aggregator_stETH_MCAP_mainnet         |              3,790 |               20,786 |               4,723 |      805,230 |             80.52 |
| Aggregator_stETH_META                 |              4,131 |               20,445 |               5,184 |      878,040 |             87.80 |
| Aggregator_stETH_META_arbitrum        |              4,131 |               20,445 |               5,060 |      876,800 |             87.68 |
| Aggregator_stETH_MSFT                 |              4,131 |               20,445 |               5,184 |      878,040 |             87.80 |
| Aggregator_stETH_MSFT_arbitrum        |              4,131 |               20,445 |               5,060 |      876,800 |             87.68 |
| Aggregator_stETH_NVDA                 |              4,131 |               20,445 |               5,184 |      878,040 |             87.80 |
| Aggregator_stETH_NVDA_arbitrum        |              4,131 |               20,445 |               5,060 |      876,800 |             87.68 |
| Aggregator_stETH_SILVER_mainnet       |              3,792 |               20,784 |               4,721 |      805,610 |             80.56 |
| Aggregator_stETH_SPCX                 |              3,790 |               20,786 |               4,843 |      806,430 |             80.64 |
| Aggregator_stETH_SPCX_mainnet         |              3,790 |               20,786 |               4,719 |      805,190 |             80.52 |
| Aggregator_stETH_SPY                  |              4,130 |               20,446 |               5,183 |      877,830 |             87.78 |
| Aggregator_stETH_SPY_arbitrum         |              4,130 |               20,446 |               5,059 |      876,590 |             87.66 |
| Aggregator_stETH_STRC                 |              3,790 |               20,786 |               4,843 |      806,430 |             80.64 |
| Aggregator_stETH_STRC_mainnet         |              3,790 |               20,786 |               4,719 |      805,190 |             80.52 |
| Aggregator_stETH_TSLA                 |              4,131 |               20,445 |               5,184 |      878,040 |             87.80 |
| Aggregator_stETH_TSLA_arbitrum        |              4,131 |               20,445 |               5,060 |      876,800 |             87.68 |
| Aggregator_stETH_USD_mainnet          |              3,383 |               21,193 |               4,109 |      717,690 |             71.77 |
| Aggregator_stETH_USD_megaeth          |              3,770 |               20,806 |               4,653 |      800,530 |             80.05 |
| Aggregator_stETH_XAG                  |              3,789 |               20,787 |               4,842 |      806,220 |             80.62 |
| Aggregator_stETH_XAU                  |              3,789 |               20,787 |               4,842 |      806,220 |             80.62 |
| Aggregator_tBTC_USD                   |              3,191 |               21,385 |               3,973 |      677,930 |             67.79 |
| Aggregator_tBTC_USD_mainnet           |              3,191 |               21,385 |               3,875 |      676,950 |             67.70 |
| Aggregator_wBTC_USD                   |              3,415 |               21,161 |               4,392 |      726,920 |             72.69 |
| Aggregator_wBTC_USD_mainnet           |              3,415 |               21,161 |               4,295 |      725,950 |             72.59 |
| Aggregator_wstETH_BTC_monad           |              4,095 |               20,481 |               5,091 |      869,910 |             86.99 |
| Aggregator_wstETH_USD_monad           |              3,712 |               20,864 |               4,506 |      787,460 |             78.75 |
| Aggregator_wstETH_XAU_monad           |              4,095 |               20,481 |               5,091 |      869,910 |             86.99 |
| ArbitrumConstants                     |                 57 |               24,519 |                  85 |       12,250 |              1.23 |
| BTCb_USD                              |                 57 |               24,519 |                  85 |       12,250 |              1.23 |
| BaseConstants                         |                 57 |               24,519 |                  85 |       12,250 |              1.23 |
| ChainlinkFeedLib                      |                 57 |               24,519 |                  85 |       12,250 |              1.23 |
| ChainlinkRateLib                      |                 57 |               24,519 |                  85 |       12,250 |              1.23 |
| DOGE_USD                              |                 57 |               24,519 |                  85 |       12,250 |              1.23 |
| DoubleFeedPriceLib                    |                 57 |               24,519 |                  85 |       12,250 |              1.23 |
| EUR_USD                               |                 57 |               24,519 |                  85 |       12,250 |              1.23 |
| FxSaveRateLib                         |                 57 |               24,519 |                  85 |       12,250 |              1.23 |
| GOOGL_USD                             |                 57 |               24,519 |                  85 |       12,250 |              1.23 |
| HYPE_USD                              |                 57 |               24,519 |                  85 |       12,250 |              1.23 |
| LatestAnswerErrorClassifier           |                 57 |               24,519 |                  85 |       12,250 |              1.23 |
| MCAP_USD                              |                 57 |               24,519 |                  85 |       12,250 |              1.23 |
| META_USD                              |                 57 |               24,519 |                  85 |       12,250 |              1.23 |
| MON_USD                               |                 57 |               24,519 |                  85 |       12,250 |              1.23 |
| MSFT_USD                              |                 57 |               24,519 |                  85 |       12,250 |              1.23 |
| MainnetRateSources                    |                 57 |               24,519 |                  85 |       12,250 |              1.23 |
| MegaETHRateSources                    |                 57 |               24,519 |                  85 |       12,250 |              1.23 |
| MultiFeedDivPriceLib                  |                 57 |               24,519 |                  85 |       12,250 |              1.23 |
| MultiFeedNormalizedPriceLib           |                 57 |               24,519 |                  85 |       12,250 |              1.23 |
| MultiFeedSumPriceLib                  |                 57 |               24,519 |                  85 |       12,250 |              1.23 |
| NVDA_USD                              |                 57 |               24,519 |                  85 |       12,250 |              1.23 |
| PAXG_USD                              |                 57 |               24,519 |                  85 |       12,250 |              1.23 |
| PEPE_USD                              |                 57 |               24,519 |                  85 |       12,250 |              1.23 |
| SHIB_USD                              |                 57 |               24,519 |                  85 |       12,250 |              1.23 |
| SHMON_MON                             |                 57 |               24,519 |                  85 |       12,250 |              1.23 |
| SOL_USD                               |                 57 |               24,519 |                  85 |       12,250 |              1.23 |
| SPCX_USD                              |                 57 |               24,519 |                  85 |       12,250 |              1.23 |
| SPY_USD                               |                 57 |               24,519 |                  85 |       12,250 |              1.23 |
| STRC_USD                              |                 57 |               24,519 |                  85 |       12,250 |              1.23 |
| SUSDE_USD                             |                 57 |               24,519 |                  85 |       12,250 |              1.23 |
| SUSDeRateLib                          |                 57 |               24,519 |                  85 |       12,250 |              1.23 |
| SingleFeedPriceLib                    |                 57 |               24,519 |                  85 |       12,250 |              1.23 |
| TBTC_USD                              |                 57 |               24,519 |                  85 |       12,250 |              1.23 |
| TRUMP_USD                             |                 57 |               24,519 |                  85 |       12,250 |              1.23 |
| TSLA_USD                              |                 57 |               24,519 |                  85 |       12,250 |              1.23 |
| TwoFeedRatioRateLib                   |                 57 |               24,519 |                  85 |       12,250 |              1.23 |
| USDMYRateLib                          |                 57 |               24,519 |                  85 |       12,250 |              1.23 |
| USDM_USD                              |                 57 |               24,519 |                  85 |       12,250 |              1.23 |
| UtcTimestampFormatter                 |                 57 |               24,519 |                  85 |       12,250 |              1.23 |
| WBTC_BTC                              |                 57 |               24,519 |                  85 |       12,250 |              1.23 |
| WIF_USD                               |                 57 |               24,519 |                  85 |       12,250 |              1.23 |
| WSTETH_USD                            |                 57 |               24,519 |                  85 |       12,250 |              1.23 |
| WstETHRateLib                         |                 57 |               24,519 |                  85 |       12,250 |              1.23 |
| XAG_USD                               |                 57 |               24,519 |                  85 |       12,250 |              1.23 |
