# regression: better=lower abs=500 rel=0.001 display={:.3e} ratchet=on

src/aggregators/arbitrum/Aggregator_USDE_AAPL.sol:Aggregator_USDE_AAPL
| function name    |   max |   display |
|------------------|-------|-----------|
| baseName         |   534 | 5.340e+02 |
| latestAnswer     | 26570 | 2.657e+04 |
| oracleName       |  1165 | 1.165e+03 |
| proxiableUUID    |   390 | 3.900e+02 |
| quoteName        |   556 | 5.560e+02 |
| rateProvider     |   523 | 5.230e+02 |
| upgradeToAndCall |  8544 | 8.544e+03 |
| version          |   373 | 3.730e+02 |

src/aggregators/mainnet/Aggregator_USDE_EUR.sol:Aggregator_USDE_EUR
| function name    |   max |   display |
|------------------|-------|-----------|
| baseName         |   534 | 5.340e+02 |
| latestAnswer     | 26570 | 2.657e+04 |
| oracleName       |  1165 | 1.165e+03 |
| proxiableUUID    |   390 | 3.900e+02 |
| quoteName        |   556 | 5.560e+02 |
| rateProvider     |   523 | 5.230e+02 |
| upgradeToAndCall |  8544 | 8.544e+03 |
| version          |   373 | 3.730e+02 |

src/aggregators/mainnet/Aggregator_USDE_MCAP.sol:Aggregator_USDE_MCAP
| function name    |   max |   display |
|------------------|-------|-----------|
| baseName         |   534 | 5.340e+02 |
| latestAnswer     | 26570 | 2.657e+04 |
| oracleName       |  1165 | 1.165e+03 |
| proxiableUUID    |   390 | 3.900e+02 |
| quoteName        |   556 | 5.560e+02 |
| rateProvider     |   523 | 5.230e+02 |
| upgradeToAndCall |  8544 | 8.544e+03 |
| version          |   373 | 3.730e+02 |

src/aggregators/mainnet/Aggregator_USDE_XAG.sol:Aggregator_USDE_XAG
| function name    |   max |   display |
|------------------|-------|-----------|
| baseName         |   534 | 5.340e+02 |
| latestAnswer     | 26570 | 2.657e+04 |
| oracleName       |  1165 | 1.165e+03 |
| proxiableUUID    |   390 | 3.900e+02 |
| quoteName        |   556 | 5.560e+02 |
| rateProvider     |   523 | 5.230e+02 |
| upgradeToAndCall |  8544 | 8.544e+03 |
| version          |   373 | 3.730e+02 |

src/aggregators/mainnet/Aggregator_USDE_XAU.sol:Aggregator_USDE_XAU
| function name    |   max |   display |
|------------------|-------|-----------|
| baseName         |   534 | 5.340e+02 |
| latestAnswer     | 26570 | 2.657e+04 |
| oracleName       |  1165 | 1.165e+03 |
| proxiableUUID    |   390 | 3.900e+02 |
| quoteName        |   556 | 5.560e+02 |
| rateProvider     |   523 | 5.230e+02 |
| upgradeToAndCall |  8544 | 8.544e+03 |
| version          |   373 | 3.730e+02 |

src/aggregators/mainnet/Aggregator_fxUSD_BTC.sol:Aggregator_fxUSD_BTC
| function name        |   max |   display |
|----------------------|-------|-----------|
| FXSAVE               |   369 | 3.690e+02 |
| INVERT_PRICE         |   423 | 4.230e+02 |
| PRICE_DIVISOR        |   502 | 5.020e+02 |
| PRICE_FEED           |   237 | 2.370e+02 |
| PRICE_FEED_DECIMALS  |   247 | 2.470e+02 |
| PRICE_FEED_HEARTBEAT |   483 | 4.830e+02 |
| baseName             |   490 | 4.900e+02 |
| latestAnswer         | 16148 | 1.615e+04 |
| oracleName           |  1121 | 1.121e+03 |
| proxiableUUID        |   346 | 3.460e+02 |
| quoteName            |   512 | 5.120e+02 |
| rateProvider         |   457 | 4.570e+02 |
