| File                                                        | % Lines            | % Statements       | % Branches       | % Funcs          |
| src/aggregators/mainnet/Aggregator_hsfxUSD_GOLD_USD.sol     | X   0% (0/21)      | X   0% (0/22)      | X   0% (0/3)     | X   0% (0/5)     |
| src/aggregators/mainnet/Aggregator_hsfxUSD_SILVER_USD.sol   | X   0% (0/21)      | X   0% (0/22)      | X   0% (0/3)     | X   0% (0/5)     |
| src/aggregators/mainnet/Aggregator_hsstETH_BTC_USD.sol      | ✓ 100% (21/21)     | X  95% (21/22)     | X  67% (2/3)     | ✓ 100% (5/5)     |
| src/aggregators/mainnet/Aggregator_hsstETH_EUR_USD.sol      | ✓ 100% (21/21)     | X  95% (21/22)     | X  67% (2/3)     | ✓ 100% (5/5)     |
| src/aggregators/mainnet/Aggregator_hsstETH_GOLD_USD.sol     | X   0% (0/21)      | X   0% (0/22)      | X   0% (0/3)     | X   0% (0/5)     |
| src/aggregators/mainnet/Aggregator_hsstETH_SILVER_USD.sol   | X   0% (0/21)      | X   0% (0/22)      | X   0% (0/3)     | X   0% (0/5)     |
| src/aggregators/mainnet/Aggregator_stETH_BTC.sol            | ✓ 100% (24/24)     | ✓ 100% (25/25)     | ✓ 100% (4/4)     | ✓ 100% (5/5)     |
| src/aggregators/mainnet/Aggregator_stETH_EUR.sol            | ✓ 100% (24/24)     | ✓ 100% (25/25)     | ✓ 100% (4/4)     | ✓ 100% (5/5)     |
| src/aggregators/mainnet/Aggregator_stETH_MCAP.sol           | ✓ 100% (24/24)     | ✓ 100% (25/25)     | ✓ 100% (4/4)     | ✓ 100% (5/5)     |
| src/aggregators/mainnet/Aggregator_stETH_SPCX.sol           | ✓ 100% (24/24)     | ✓ 100% (25/25)     | ✓ 100% (4/4)     | ✓ 100% (5/5)     |
| src/aggregators/mainnet/Aggregator_stETH_STRC.sol           | ✓ 100% (24/24)     | ✓ 100% (25/25)     | ✓ 100% (4/4)     | ✓ 100% (5/5)     |
| src/aggregators/mainnet/Aggregator_stETH_USD.sol            | ✓ 100% (20/20)     | ✓ 100% (20/20)     | ✓ 100% (3/3)     | ✓ 100% (5/5)     |
| src/aggregators/mainnet/Aggregator_stETH_XAG.sol            | ✓ 100% (24/24)     | ✓ 100% (25/25)     | ✓ 100% (4/4)     | ✓ 100% (5/5)     |
| src/aggregators/mainnet/Aggregator_stETH_XAU.sol            | ✓ 100% (24/24)     | ✓ 100% (25/25)     | ✓ 100% (4/4)     | ✓ 100% (5/5)     |
| src/aggregators/mainnet/Aggregator_tBTC_USD.sol             | ✓ 100% (17/17)     | ✓ 100% (15/15)     | ✓ 100% (2/2)     | ✓ 100% (5/5)     |
| src/aggregators/mainnet/Aggregator_wBTC_USD.sol             | ✓ 100% (24/24)     | ✓ 100% (26/26)     | ✓ 100% (3/3)     | ✓ 100% (5/5)     |
| src/aggregators/megaeth/Aggregator_BTC_USD.sol              | X   0% (0/17)      | X   0% (0/15)      | X   0% (0/2)     | X   0% (0/5)     |
| src/aggregators/megaeth/Aggregator_BTCb_USD.sol             | X   0% (0/17)      | X   0% (0/15)      | X   0% (0/2)     | X   0% (0/5)     |
| src/aggregators/megaeth/Aggregator_USDE_BTC.sol             | X   0% (0/24)      | X   0% (0/25)      | X   0% (0/4)     | X   0% (0/5)     |
| src/aggregators/megaeth/Aggregator_USDE_ETH.sol             | X   0% (0/24)      | X   0% (0/25)      | X   0% (0/4)     | X   0% (0/5)     |
| src/aggregators/megaeth/Aggregator_USDM_BTC.sol             | ✓ 100% (24/24)     | ✓ 100% (25/25)     | ✓ 100% (4/4)     | ✓ 100% (5/5)     |
| src/aggregators/megaeth/Aggregator_USDM_ETH.sol             | ✓ 100% (24/24)     | ✓ 100% (25/25)     | ✓ 100% (4/4)     | ✓ 100% (5/5)     |
| src/aggregators/megaeth/Aggregator_USDM_HYPE.sol            | ✓ 100% (24/24)     | ✓ 100% (25/25)     | ✓ 100% (4/4)     | ✓ 100% (5/5)     |
| src/aggregators/megaeth/Aggregator_USDM_SOL.sol             | ✓ 100% (24/24)     | ✓ 100% (25/25)     | ✓ 100% (4/4)     | ✓ 100% (5/5)     |
| src/aggregators/megaeth/Aggregator_stETH_USD.sol            | X   0% (0/23)      | X   0% (0/25)      | X   0% (0/3)     | X   0% (0/5)     |
| src/aggregators/monad/Aggregator_sUSDe_BTC_monad.sol        | X   0% (0/4)       | X   0% (0/2)       | ✓ 100% (0/0)     | X   0% (0/2)     |
| src/aggregators/monad/Aggregator_sUSDe_ETH_monad.sol        | X   0% (0/4)       | X   0% (0/2)       | ✓ 100% (0/0)     | X   0% (0/2)     |
| src/aggregators/monad/Aggregator_sUSDe_XAU_monad.sol        | X   0% (0/4)       | X   0% (0/2)       | ✓ 100% (0/0)     | X   0% (0/2)     |
| src/aggregators/monad/Aggregator_shMON_BTC_monad.sol        | X   0% (0/4)       | X   0% (0/2)       | ✓ 100% (0/0)     | X   0% (0/2)     |
| src/aggregators/monad/Aggregator_shMON_ETH_monad.sol        | X   0% (0/4)       | X   0% (0/2)       | ✓ 100% (0/0)     | X   0% (0/2)     |
| src/aggregators/monad/Aggregator_shMON_USD_monad.sol        | X   0% (0/4)       | X   0% (0/2)       | ✓ 100% (0/0)     | X   0% (0/2)     |
| src/aggregators/monad/Aggregator_shMON_XAU_monad.sol        | X   0% (0/4)       | X   0% (0/2)       | ✓ 100% (0/0)     | X   0% (0/2)     |
| src/aggregators/monad/Aggregator_wstETH_BTC_monad.sol       | X   0% (0/4)       | X   0% (0/2)       | ✓ 100% (0/0)     | X   0% (0/2)     |
| src/aggregators/monad/Aggregator_wstETH_USD_monad.sol       | X   0% (0/4)       | X   0% (0/2)       | ✓ 100% (0/0)     | X   0% (0/2)     |
| src/aggregators/monad/Aggregator_wstETH_XAU_monad.sol       | X   0% (0/4)       | X   0% (0/2)       | ✓ 100% (0/0)     | X   0% (0/2)     |
| src/feeds/chainlink/ChainlinkFeedLib.sol                    | ✓ 100% (16/16)     | ✓ 100% (18/18)     | ✓ 100% (6/6)     | ✓ 100% (2/2)     |
| src/format/UtcTimestampFormatter.sol                        | X   0% (0/40)      | X   0% (0/59)      | X   0% (0/1)     | X   0% (0/1)     |
| src/mainnet/Aggregator_USDE_GOLD_mainnet.sol                | X   0% (0/2)       | X   0% (0/1)       | ✓ 100% (0/0)     | X   0% (0/1)     |
| src/mainnet/Aggregator_USDE_SILVER_mainnet.sol              | X   0% (0/2)       | X   0% (0/1)       | ✓ 100% (0/0)     | X   0% (0/1)     |
| src/mainnet/Aggregator_fxUSD_GOLD_mainnet.sol               | X   0% (0/2)       | X   0% (0/1)       | ✓ 100% (0/0)     | X   0% (0/1)     |
| src/mainnet/Aggregator_fxUSD_SILVER_mainnet.sol             | X   0% (0/2)       | X   0% (0/1)       | ✓ 100% (0/0)     | X   0% (0/1)     |
| src/mainnet/Aggregator_stETH_GOLD_mainnet.sol               | X   0% (0/2)       | X   0% (0/1)       | ✓ 100% (0/0)     | X   0% (0/1)     |
| src/mainnet/Aggregator_stETH_SILVER_mainnet.sol             | X   0% (0/2)       | X   0% (0/1)       | ✓ 100% (0/0)     | X   0% (0/1)     |
| src/prices/DoubleFeedPriceLib.sol                           | ✓ 100% (6/6)       | ✓ 100% (8/8)       | ✓ 100% (1/1)     | ✓ 100% (1/1)     |
| src/prices/MultiFeedDivPriceLib.sol                         | ✓ 100% (12/12)     | ✓ 100% (20/20)     | ✓ 100% (5/5)     | ✓ 100% (1/1)     |
| src/prices/MultiFeedNormalizedPriceLib.sol                  | ✓ 100% (13/13)     | ✓ 100% (22/22)     | ✓ 100% (5/5)     | ✓ 100% (1/1)     |
| src/prices/MultiFeedSumPriceLib.sol                         | ✓ 100% (11/11)     | ✓ 100% (17/17)     | ✓ 100% (4/4)     | ✓ 100% (1/1)     |
| src/prices/SingleFeedPriceLib.sol                           | ✓ 100% (7/7)       | ✓ 100% (8/8)       | ✓ 100% (1/1)     | ✓ 100% (2/2)     |
| src/rates/ChainlinkRateLib.sol                              | X  94% (16/17)     | X  92% (23/25)     | X  62% (5/8)     | ✓ 100% (2/2)     |
| src/rates/FxSaveRateLib.sol                                 | ✓ 100% (8/8)       | ✓ 100% (9/9)       | ✓ 100% (1/1)     | ✓ 100% (3/3)     |
| src/rates/SUSDeRateLib.sol                                  | ✓ 100% (8/8)       | ✓ 100% (9/9)       | ✓ 100% (1/1)     | ✓ 100% (3/3)     |
| src/rates/TwoFeedRatioRateLib.sol                           | X   0% (0/13)      | X   0% (0/20)      | X   0% (0/3)     | X   0% (0/2)     |
| src/rates/USDMYRateLib.sol                                  | ✓ 100% (8/8)       | ✓ 100% (9/9)       | ✓ 100% (1/1)     | ✓ 100% (3/3)     |
| src/rates/WstETHRateLib.sol                                 | ✓ 100% (8/8)       | ✓ 100% (11/11)     | ✓ 100% (1/1)     | ✓ 100% (3/3)     |
| Total                                                       | X  75% (2429/3227) | X  75% (2352/3124) | X  76% (273/357) | X  73% (598/814) |
